Age,Race,Gender,Num_Prior_Offenses,Months_Since_Last_Offense,Reoffend
38,Black,1,5,46,0
54,White,1,7,46,0
60,White,1,9,2,0
30,Hispanic,0,6,6,0
58,Asian,0,8,48,0
44,White,1,6,58,0
51,White,0,0,41,0
28,White,0,8,58,0
47,Hispanic,1,4,57,0
22,Black,0,5,53,0
37,Black,0,1,15,0
43,Black,1,1,51,0
17,White,1,3,47,1
57,Hispanic,1,3,54,0
60,Black,1,4,12,0
21,White,0,6,41,1
43,White,1,10,48,1
43,Black,0,0,32,0
59,Hispanic,0,9,6,0
59,White,1,3,52,0
35,Hispanic,0,8,60,1
45,Asian,0,7,27,1
26,White,0,2,47,0
43,White,1,5,13,0
40,White,0,10,53,0
54,Asian,1,8,23,0
48,White,1,7,10,1
16,White,0,6,14,0
42,Black,0,6,3,0
28,Asian,1,0,12,0
56,White,1,4,25,0
18,Black,1,6,1,1
54,Black,1,1,32,0
21,Black,1,5,24,0
23,Hispanic,0,1,53,0
42,White,1,2,48,0
24,Hispanic,0,0,42,0
52,Asian,1,2,9,0
48,Black,0,6,50,1
57,Asian,1,4,1,0
59,Black,0,3,42,0
39,White,0,7,39,0
30,Asian,1,7,10,0
47,Black,0,0,44,0
47,Black,1,8,43,0
39,White,1,8,41,0
56,Hispanic,0,1,30,0
64,Black,0,1,5,0
64,White,1,7,59,0
27,Black,1,10,4,1
54,Asian,1,5,52,0
17,Asian,0,2,60,0
18,Black,0,1,45,0
64,Hispanic,1,4,8,0
52,White,0,7,16,0
64,Black,0,5,1,0
32,Hispanic,0,2,49,0
64,Hispanic,1,8,15,0
17,Asian,1,7,24,0
17,Hispanic,0,9,15,1
43,White,0,5,50,0
38,Hispanic,1,0,58,0
52,White,0,1,6,0
47,White,1,3,2,1
48,White,1,1,5,0
16,Black,1,2,51,0
34,White,1,7,39,0
17,White,1,8,41,1
59,White,1,5,34,0
41,White,1,3,39,0
47,Black,0,10,32,0
21,Black,1,1,29,0
47,White,0,6,29,1
19,Asian,0,9,24,0
26,Hispanic,0,10,46,0
32,Asian,1,6,58,0
53,White,0,9,31,0
39,Asian,1,8,24,0
20,White,1,4,55,0
49,White,0,9,15,0
21,White,0,3,12,0
37,Hispanic,0,9,20,0
26,White,0,5,4,1
63,White,1,1,58,0
31,White,0,1,13,0
48,Hispanic,0,8,41,0
24,Black,0,6,44,0
21,White,0,6,10,1
31,Black,0,4,41,0
44,Black,1,6,53,0
18,Asian,1,8,23,0
35,White,1,9,7,1
51,Hispanic,0,4,57,0
34,White,0,8,12,0
41,Asian,1,0,48,0
18,White,1,2,15,0
34,White,1,6,7,0
35,White,1,3,8,0
47,Black,0,1,7,0
22,White,0,2,43,0
56,Asian,0,6,4,0
48,White,1,7,60,0
55,Asian,1,10,50,0
54,Hispanic,1,8,51,0
33,Black,0,5,7,1
55,Asian,0,9,59,0
16,Asian,1,8,59,0
26,White,0,3,45,0
43,Hispanic,1,4,41,0
40,White,1,0,30,0
65,Black,1,8,59,0
38,Asian,0,8,18,1
46,White,1,8,30,0
45,White,1,2,7,0
57,Black,0,9,52,0
50,Hispanic,1,9,48,0
22,Hispanic,1,9,23,0
31,Black,0,7,60,1
41,Asian,1,2,37,0
63,Hispanic,1,5,7,0
64,White,1,4,38,0
17,White,0,7,29,1
16,Asian,1,2,34,0
63,Hispanic,1,0,60,0
27,Hispanic,1,8,39,1
20,Black,0,9,53,1
52,White,0,8,41,0
47,Black,0,2,45,0
24,White,1,1,59,1
56,White,0,3,49,0
50,Asian,1,7,49,0
34,White,0,5,47,0
63,Hispanic,0,9,18,0
31,Black,0,0,56,0
18,Black,0,7,47,1
35,White,1,4,43,0
39,White,0,5,25,0
48,White,1,4,27,0
39,Other,1,9,27,1
26,Hispanic,1,4,12,0
64,Black,0,2,23,0
23,White,0,3,17,0
51,Hispanic,1,4,44,0
53,White,0,10,7,1
55,White,1,10,24,0
35,Black,0,1,7,0
50,Hispanic,0,5,29,0
63,White,1,1,60,0
40,White,0,3,53,0
50,Hispanic,1,0,28,0
40,White,1,3,23,0
44,White,0,6,10,1
33,Black,0,7,16,1
61,Hispanic,0,1,43,0
33,Black,1,2,48,0
17,Other,0,0,34,0
50,Asian,0,6,25,0
31,White,0,3,2,0
56,Other,0,10,50,0
51,Black,1,9,5,1
48,White,0,7,14,0
19,Black,1,4,31,0
48,White,0,8,40,0
29,White,0,5,6,0
36,White,0,10,28,0
63,Black,1,9,9,0
35,Hispanic,1,1,6,0
23,Black,0,0,53,0
22,Other,1,0,17,0
18,White,1,8,40,0
32,White,0,0,35,0
48,White,0,2,12,0
63,White,0,1,45,0
27,White,0,3,18,0
37,Asian,0,0,55,0
37,Hispanic,0,0,43,0
61,Other,1,3,34,0
45,White,0,3,46,0
53,Hispanic,0,6,1,0
53,White,0,7,59,0
60,White,0,7,15,1
23,Hispanic,1,7,18,1
42,Black,1,8,22,0
42,White,1,0,18,0
49,Black,0,8,49,0
36,White,0,9,1,0
45,Asian,1,7,46,0
48,Black,1,0,20,0
43,Other,0,6,56,0
62,White,0,8,54,0
48,White,0,3,48,0
20,Black,0,8,36,1
63,Black,0,0,54,0
34,White,1,8,38,0
19,Asian,0,5,25,0
50,Hispanic,1,3,16,0
64,Hispanic,0,4,20,0
32,Hispanic,1,6,38,0
59,Hispanic,1,9,47,0
43,Black,1,3,58,0
45,Hispanic,0,7,33,0
44,White,0,2,7,0
61,White,0,1,23,0
21,White,1,0,11,0
50,Black,1,5,33,0
56,White,0,1,40,0
52,Other,1,7,46,0
39,White,1,10,5,0
44,White,1,9,45,0
64,Black,1,3,47,0
61,White,0,8,41,1
46,White,1,3,8,0
50,White,0,3,51,0
48,Black,1,7,17,0
36,Black,1,7,51,0
47,Asian,0,4,18,0
38,Asian,1,2,50,0
48,Black,0,1,27,0
18,White,0,8,31,0
33,White,0,8,4,0
40,Asian,0,4,2,0
57,White,0,7,56,0
46,White,0,6,5,0
18,Asian,0,2,17,0
55,Black,1,4,54,0
61,White,0,8,60,0
39,White,1,3,39,0
65,Hispanic,1,2,32,0
47,Hispanic,1,6,29,1
62,Asian,0,7,16,0
37,Black,0,4,1,0
38,Black,1,7,12,1
17,Other,0,4,19,0
42,Other,1,8,9,0
57,White,1,6,48,0
17,Hispanic,1,4,7,0
41,White,0,8,30,0
32,White,1,4,15,0
55,Asian,0,7,44,0
48,Black,1,3,4,0
24,Hispanic,0,8,6,0
58,White,1,5,38,0
63,Black,0,5,47,0
54,Hispanic,1,2,60,0
44,Hispanic,0,2,35,0
57,White,0,3,2,0
41,White,0,0,5,0
50,Black,1,5,8,0
65,White,1,0,51,0
40,Other,1,10,53,0
39,Hispanic,0,3,30,0
28,White,0,6,48,0
22,White,1,5,19,0
51,White,1,7,30,0
60,Hispanic,0,3,55,0
35,White,1,8,31,0
16,Black,0,9,16,0
23,Black,0,7,38,0
61,Black,0,4,22,0
31,White,1,5,33,0
29,White,0,4,50,0
27,Hispanic,1,5,22,0
38,Hispanic,0,0,8,0
30,Asian,1,3,37,0
43,White,1,8,12,0
49,White,0,3,50,0
17,Black,0,1,5,0
47,White,0,5,25,0
38,Hispanic,0,1,54,0
37,Black,1,2,29,0
40,White,1,6,13,1
37,Hispanic,1,3,53,0
37,Other,1,0,26,0
64,White,1,8,22,0
57,Black,0,5,29,0
21,White,0,8,12,0
30,White,1,2,48,0
58,White,0,4,46,0
52,Black,0,8,43,0
48,Other,0,5,28,0
23,Black,0,1,9,0
59,White,0,0,55,0
59,Black,0,8,10,1
20,White,1,0,48,0
54,Hispanic,0,4,51,0
19,Black,0,0,42,0
21,White,1,4,26,0
60,White,1,4,53,0
47,Asian,1,6,36,0
45,White,0,6,59,0
62,Asian,1,10,53,0
50,White,0,9,40,0
55,White,1,0,11,0
31,Black,0,8,6,0
28,Hispanic,0,0,4,0
65,Hispanic,1,4,53,0
57,White,0,6,27,0
45,White,0,7,55,0
34,White,0,1,24,0
32,Black,0,0,5,1
34,Black,1,3,50,1
43,Hispanic,1,3,54,1
41,Hispanic,1,9,57,0
52,White,0,5,3,0
41,Black,1,0,7,0
38,Hispanic,1,0,24,0
24,Hispanic,0,2,22,0
27,White,1,4,12,0
16,White,1,5,35,0
16,Black,1,4,17,0
62,White,0,4,3,0
49,White,1,8,11,0
47,White,1,1,6,0
63,Black,1,0,43,0
40,White,0,5,36,0
55,White,0,8,17,0
60,White,1,6,22,0
16,Hispanic,1,7,1,1
31,Hispanic,1,4,44,0
54,Black,0,9,56,0
20,Black,0,3,3,0
37,Other,1,5,16,0
44,White,1,2,35,1
18,White,0,0,14,0
27,White,0,10,49,0
41,White,1,3,51,0
31,White,0,8,7,0
52,Hispanic,1,3,26,0
37,Black,1,0,56,0
44,Black,0,3,43,0
29,Hispanic,1,6,48,0
43,White,1,2,31,0
20,White,1,9,24,1
62,Black,1,5,19,0
64,Black,1,0,37,0
45,White,1,10,1,1
61,Black,1,3,25,0
20,Black,0,2,56,0
27,Asian,0,0,10,0
31,Black,1,2,18,0
41,White,0,3,42,0
41,White,1,4,1,0
63,Black,1,5,29,0
36,White,0,1,13,0
54,Hispanic,1,1,4,0
51,Black,1,5,57,0
48,White,0,4,12,0
45,Asian,0,0,56,0
52,Black,0,2,48,0
38,White,0,10,19,0
25,Hispanic,0,4,26,0
20,Hispanic,0,1,44,0
51,Asian,1,0,38,0
49,White,0,8,16,1
46,Black,0,4,44,0
25,Asian,1,1,25,0
34,White,1,9,58,0
47,White,0,3,56,0
16,Hispanic,1,2,10,0
20,White,1,6,37,0
60,Asian,1,0,28,0
19,Black,1,9,28,0
31,Black,1,3,25,0
39,White,1,6,25,0
31,Hispanic,1,10,51,0
17,White,0,9,12,0
64,Black,1,4,8,0
43,Asian,0,3,36,0
47,Asian,1,3,58,0
42,Other,1,10,39,0
35,Black,0,1,58,0
39,White,1,7,24,0
27,Other,1,3,23,0
65,Black,0,1,37,0
50,White,1,8,11,0
48,White,1,9,17,0
48,Hispanic,0,6,28,0
58,White,0,2,56,0
52,Asian,1,6,53,0
27,Black,0,0,3,0
18,White,1,0,2,0
16,Black,1,3,51,1
48,White,0,3,29,0
55,Black,0,3,57,0
25,Black,0,8,34,0
58,Black,0,5,14,0
59,Asian,1,2,58,0
44,Hispanic,0,5,33,0
28,Asian,0,1,48,0
27,White,1,1,47,0
46,White,1,6,18,0
61,Black,1,2,29,0
17,Hispanic,1,6,2,0
65,Hispanic,1,2,60,0
50,Hispanic,1,1,11,0
38,White,1,3,31,0
32,Black,1,3,53,0
41,Black,1,2,49,0
23,White,0,8,13,1
44,White,0,5,44,0
41,Hispanic,1,4,26,0
25,White,0,5,56,0
41,White,1,10,34,0
49,White,1,7,54,0
56,Hispanic,1,4,53,0
22,Black,1,3,50,0
19,Asian,0,6,10,0
65,Hispanic,0,4,12,0
60,White,1,3,49,0
26,Black,0,4,22,0
44,White,0,10,46,0
51,White,1,3,54,0
40,Hispanic,1,7,31,1
36,Asian,0,7,19,0
51,White,0,0,45,0
25,White,1,2,24,0
52,Black,1,10,25,0
24,White,0,3,35,0
39,White,1,1,57,0
50,White,1,4,8,0
64,White,1,10,5,0
50,Hispanic,0,7,22,0
63,White,0,1,60,0
51,White,1,8,28,0
33,Black,0,6,12,1
64,Hispanic,1,5,33,0
54,White,0,7,53,0
47,White,0,1,58,0
39,White,0,4,16,0
38,Asian,1,3,26,0
47,Black,1,7,12,0
52,Hispanic,1,0,23,0
27,Other,0,2,49,0
64,Asian,1,9,26,0
28,Black,1,7,41,1
38,Black,1,4,13,0
40,White,1,3,23,0
50,Other,0,5,31,0
56,White,1,4,36,0
45,White,1,2,27,0
32,Asian,0,10,36,1
64,White,1,4,59,0
35,Black,0,3,47,0
63,Black,0,0,42,0
40,Black,0,0,23,0
37,Hispanic,1,6,38,0
28,White,0,3,3,0
34,Black,0,0,30,0
64,Black,0,5,57,0
51,Asian,1,10,32,0
27,Asian,0,10,15,0
56,White,0,10,38,1
34,Black,0,10,11,1
27,White,1,0,2,0
24,Hispanic,0,7,26,0
22,White,0,8,60,1
43,Asian,1,10,34,0
29,White,1,2,1,0
46,White,1,6,11,1
34,Black,0,4,5,0
62,Hispanic,0,2,26,0
31,Black,0,4,6,0
20,Hispanic,0,9,35,0
50,Black,1,6,52,0
27,Black,0,6,5,0
40,White,1,8,52,1
36,Hispanic,0,7,9,0
51,White,0,3,28,0
38,Hispanic,0,4,19,0
31,Hispanic,1,4,5,0
54,Hispanic,1,9,23,0
60,Black,1,1,44,0
57,Asian,1,6,44,0
54,Asian,0,6,16,0
29,White,0,8,7,0
46,Black,0,8,14,0
20,White,0,3,22,0
50,Black,0,4,9,0
38,White,1,6,47,0
44,White,1,9,23,0
58,White,0,6,43,0
26,Black,0,10,4,0
33,Black,0,9,43,1
62,White,0,10,26,0
27,Black,1,7,41,0
24,White,0,7,6,0
25,Black,0,1,31,0
59,Black,0,8,17,1
32,Black,0,10,9,1
53,Asian,1,3,27,0
22,White,0,0,55,0
61,Asian,1,0,6,0
28,Black,1,4,6,0
55,Black,0,6,4,0
57,Black,0,4,52,0
24,White,0,2,43,0
65,Asian,0,10,3,0
42,Black,0,6,24,0
17,White,1,0,56,0
20,White,1,10,18,0
44,White,1,0,32,0
52,Hispanic,1,1,48,0
53,Asian,1,0,21,0
34,White,0,8,48,1
23,White,0,3,29,0
63,Black,1,6,32,0
60,Hispanic,0,4,25,0
16,White,0,6,12,0
37,White,1,6,46,0
32,Hispanic,1,0,9,0
22,White,1,0,7,0
40,White,0,10,14,1
60,Other,1,2,20,0
19,Black,1,9,20,1
51,White,0,1,10,0
21,White,0,6,11,1
46,White,1,2,39,0
34,White,0,6,19,1
59,Hispanic,1,8,19,0
54,Black,0,10,53,1
42,Asian,1,0,43,0
25,Hispanic,0,2,6,1
41,Black,0,10,8,1
34,White,0,5,1,0
54,Black,1,8,23,0
18,Hispanic,1,4,40,1
60,Hispanic,1,2,37,0
28,White,0,7,60,0
65,Asian,0,4,10,0
43,Black,0,5,2,0
35,Hispanic,1,1,36,0
43,White,0,3,54,0
23,Black,1,0,57,0
56,Hispanic,1,3,2,0
54,Black,1,0,15,1
16,Black,1,3,20,0
18,White,1,1,42,0
28,White,0,5,21,1
43,White,0,5,30,0
64,Hispanic,0,7,56,0
40,White,0,8,24,1
48,Black,0,7,2,0
53,Asian,0,0,38,0
21,White,1,2,22,0
59,Black,0,5,29,1
60,Asian,1,0,14,0
47,Hispanic,1,7,5,1
60,Black,1,5,24,0
62,Asian,1,0,26,0
36,White,1,9,2,0
31,Hispanic,0,1,46,0
36,White,0,5,45,0
26,Asian,0,9,34,0
52,White,1,7,23,0
51,Hispanic,0,4,41,0
50,Asian,0,0,35,0
34,Asian,1,9,15,0
35,White,1,1,55,0
33,Black,0,3,3,0
62,Black,1,3,12,0
56,Asian,1,6,38,0
64,White,1,1,51,0
29,Other,0,6,17,0
30,Hispanic,1,6,38,0
46,White,1,6,27,0
16,Hispanic,1,2,19,0
18,Black,1,5,49,0
31,Black,1,5,48,0
38,White,0,3,21,0
26,Black,0,0,40,0
27,Asian,1,8,24,1
25,Black,1,1,24,0
47,Black,0,8,19,1
31,Asian,0,7,31,0
23,Asian,1,0,40,0
53,White,1,10,20,1
27,Hispanic,0,6,15,0
39,Black,1,9,40,0
43,White,1,2,35,0
23,White,0,9,48,0
43,Black,0,9,35,0
51,Hispanic,0,8,33,0
41,White,0,4,40,0
23,Asian,1,10,56,0
65,White,1,2,41,0
43,Black,1,7,54,1
43,Other,1,2,44,0
52,Asian,0,6,18,0
56,White,0,6,17,0
51,Black,1,6,8,0
42,White,1,0,58,0
32,Black,1,10,20,0
24,Asian,0,4,11,0
48,Asian,0,10,30,0
35,White,0,0,27,0
28,Hispanic,1,6,39,0
43,Black,1,7,14,0
63,White,1,6,42,0
44,Black,0,0,15,0
28,Black,1,2,12,0
61,Black,0,9,20,0
50,Black,1,2,17,0
21,Black,1,6,40,0
33,White,0,3,26,0
20,Hispanic,0,2,14,0
62,Black,1,5,25,0
40,White,0,9,26,0
17,Asian,0,5,47,0
25,Hispanic,0,9,25,0
45,Hispanic,0,4,25,0
65,White,0,5,60,0
60,White,1,2,60,0
20,Black,1,9,27,0
48,White,1,4,43,0
16,Hispanic,1,8,12,1
33,White,0,3,20,0
47,White,1,10,16,1
62,Black,0,1,25,0
64,White,1,4,27,0
26,Asian,1,2,52,0
36,Black,0,2,18,0
41,White,1,3,10,0
40,White,1,3,51,0
37,Black,1,4,50,0
42,White,1,6,30,0
64,Black,1,3,1,0
28,Black,1,10,59,1
48,Asian,1,6,54,1
49,Hispanic,0,8,4,1
56,Hispanic,1,2,23,0
50,Hispanic,1,4,7,0
16,White,1,3,30,0
36,White,1,8,26,0
63,White,1,4,1,0
21,Hispanic,1,9,60,0
43,Other,0,1,29,0
32,Hispanic,1,9,25,0
20,White,1,0,40,0
46,Hispanic,0,6,26,0
20,Black,0,10,17,1
53,White,1,0,31,0
18,Black,1,7,8,0
38,White,1,8,5,0
52,Black,0,6,1,0
52,White,0,8,15,0
25,Black,1,9,36,0
25,Black,1,5,7,1
34,Hispanic,0,6,46,0
32,Asian,0,2,44,0
36,Black,0,8,53,0
29,Hispanic,0,2,27,0
24,Hispanic,1,5,35,0
61,White,0,3,60,0
16,Black,0,8,27,0
60,White,1,0,20,0
28,White,0,8,18,0
19,Asian,1,3,40,0
16,Hispanic,0,9,60,0
64,White,1,4,2,0
55,Hispanic,0,10,30,0
47,Hispanic,1,0,59,0
49,Hispanic,1,0,38,0
43,White,0,5,30,0
46,Hispanic,1,9,7,0
23,White,1,0,39,0
54,Black,0,1,13,0
41,White,1,2,33,0
49,White,1,6,40,0
18,Asian,0,1,57,0
65,Black,0,4,30,0
27,White,1,8,30,0
16,White,1,9,23,1
59,Asian,1,7,45,0
20,White,1,7,24,0
45,Hispanic,1,10,20,1
45,White,0,1,28,0
32,White,1,0,56,0
63,White,0,8,19,0
62,Black,0,9,49,0
38,White,0,3,13,0
30,White,0,8,16,0
52,Other,1,10,56,0
36,Black,1,10,15,0
29,White,1,6,11,0
17,Black,0,5,12,0
26,Hispanic,0,9,22,0
54,White,1,8,25,0
53,White,0,9,3,0
49,Asian,1,3,24,0
53,Black,0,0,25,0
65,Black,0,4,9,0
49,White,0,5,28,0
33,White,0,5,46,0
45,Black,0,0,30,0
30,White,0,6,7,0
42,Black,0,7,60,0
49,Black,1,4,11,0
53,White,1,1,10,0
48,Hispanic,0,1,3,0
39,Hispanic,0,10,19,0
30,Asian,1,4,2,0
45,White,0,6,17,1
57,White,1,6,29,0
32,Black,1,3,2,0
20,White,1,10,53,0
44,Other,1,2,16,0
19,White,1,8,49,0
25,Black,0,6,10,1
32,White,0,1,4,0
25,Black,1,0,43,0
32,White,0,10,26,0
35,Black,1,1,58,0
39,White,0,2,49,0
20,Hispanic,0,4,60,0
49,White,0,2,58,0
21,Hispanic,0,9,24,0
17,Hispanic,0,8,12,0
28,White,0,9,21,0
58,Asian,0,3,42,0
58,White,0,6,16,0
63,Other,1,3,36,0
26,Black,1,2,35,0
62,White,0,9,9,0
38,White,0,0,6,0
31,White,0,8,44,0
46,Other,1,10,1,0
26,White,0,0,14,0
31,Asian,0,10,24,0
23,Black,1,0,10,0
19,Hispanic,1,0,18,0
55,White,1,4,45,0
19,Black,0,6,9,1
40,Black,1,6,27,0
18,Asian,0,9,55,0
47,White,1,0,19,0
18,White,0,5,36,0
42,White,0,8,3,0
44,Asian,0,5,38,0
47,White,1,3,9,0
65,Black,0,9,10,0
34,White,0,8,9,0
36,Hispanic,0,2,17,0
20,Hispanic,1,9,42,0
33,Black,0,3,38,0
43,White,0,3,48,0
57,White,0,3,49,0
37,White,0,5,43,0
36,White,1,10,20,0
21,Asian,0,10,7,0
16,Black,1,6,4,0
20,Hispanic,1,8,57,0
56,White,0,10,10,0
27,Asian,1,2,21,1
41,Black,1,7,14,0
61,Black,1,7,25,1
49,White,0,0,17,0
64,Black,1,4,28,0
29,Black,1,9,14,0
41,Asian,0,4,52,0
60,Hispanic,0,7,55,0
42,White,1,7,13,0
24,White,1,1,34,0
41,Black,1,2,41,0
62,Black,0,1,3,0
37,White,1,0,4,0
62,Asian,0,1,44,0
45,Other,1,9,15,0
58,Hispanic,1,5,20,0
63,White,0,0,8,0
32,Hispanic,1,5,50,0
41,Asian,0,0,5,0
51,Black,1,1,2,0
16,Black,0,7,28,0
23,Hispanic,0,5,22,1
64,Black,1,8,9,0
50,White,0,0,28,0
30,Black,1,4,57,0
62,Black,0,6,46,1
37,White,0,8,1,0
29,Hispanic,0,10,52,0
41,Asian,1,8,36,0
43,Black,0,3,49,0
38,White,0,3,42,0
29,Black,0,3,2,0
39,White,1,2,38,0
17,White,1,7,26,0
60,Black,0,4,31,1
41,Black,0,6,51,0
29,Black,1,9,41,0
22,White,0,5,51,0
18,Black,0,8,19,0
62,White,0,2,31,0
38,Other,0,5,9,0
61,Black,0,2,3,0
58,Asian,0,1,38,0
62,White,1,2,6,0
60,White,0,1,49,0
33,Other,0,1,45,0
53,White,1,9,45,1
50,Black,1,10,7,1
30,Black,1,6,41,0
40,White,1,9,25,0
52,Hispanic,0,2,25,0
43,Black,1,7,50,0
25,White,0,1,1,0
54,White,1,10,54,1
32,White,1,10,22,1
54,Hispanic,1,6,20,0
37,Asian,0,2,13,0
41,White,1,8,40,0
59,White,1,6,21,0
40,Asian,1,8,23,0
32,Black,0,1,41,0
28,Black,0,5,33,0
35,White,1,4,9,0
40,White,0,1,29,0
19,Asian,1,3,52,0
25,Other,0,3,55,0
18,White,1,7,32,1
56,Black,0,6,11,0
60,Black,1,4,52,0
33,Black,0,8,36,0
62,White,0,0,29,0
51,Hispanic,1,3,48,0
62,Black,1,4,31,0
37,Black,0,7,14,0
49,White,1,2,52,0
62,White,1,4,54,0
23,White,1,2,53,0
55,Asian,1,6,50,0
64,White,0,9,25,0
59,Asian,1,2,59,0
34,White,0,6,54,0
57,Black,0,1,26,0
56,Black,1,6,22,0
52,White,1,8,9,1
21,White,0,4,33,0
41,White,1,5,23,0
49,Asian,1,9,35,1
60,Asian,0,10,20,0
21,White,0,2,33,0
52,Black,0,9,35,0
48,White,1,4,46,0
37,White,1,4,30,0
36,White,0,2,46,0
21,Hispanic,0,7,55,0
21,White,1,5,30,0
63,White,1,2,22,0
19,White,1,0,45,0
45,White,0,9,1,1
26,Black,1,0,15,0
45,White,1,10,25,0
46,White,0,9,20,1
39,Black,1,1,7,0
24,White,0,9,16,1
18,Asian,1,4,52,0
46,Black,0,6,23,0
55,White,0,0,21,0
52,Asian,0,0,1,0
51,White,1,3,47,0
39,Black,1,9,20,1
46,Black,1,5,47,0
21,White,1,8,19,1
17,Black,0,0,6,0
35,Hispanic,1,10,38,0
43,Other,1,9,32,1
26,Black,0,4,1,1
19,Black,0,8,30,0
30,White,0,7,16,0
21,White,0,6,27,0
64,Black,1,9,18,1
45,White,0,1,13,0
53,Hispanic,1,8,44,0
17,White,1,7,50,0
30,White,0,10,28,1
26,White,0,9,10,1
23,Hispanic,0,9,14,0
41,Asian,0,8,52,0
60,Black,0,8,29,0
59,White,1,8,57,0
20,Hispanic,0,2,11,0
21,White,1,6,50,0
41,Hispanic,0,0,59,0
19,Black,1,8,56,0
34,White,1,8,27,0
35,Black,1,2,44,0
48,Asian,0,4,17,0
35,White,0,7,60,0
64,Hispanic,0,5,56,0
27,Black,1,9,3,1
62,White,1,9,31,0
16,White,0,8,21,1
41,Black,0,2,33,0
29,Black,1,6,1,1
53,Black,1,5,6,0
